,SK_ID_CURR,PROBABILITY_VALUE_1
0,149741,0.3050308710890676
1,363290,0.04283644722865479
2,436006,0.06097806804984788
3,377703,0.04771758799024609
4,188624,0.3088281110757015
5,454397,0.09402399129501834
6,358007,0.04661144308003857
7,140209,0.07950197585843699
8,234837,0.018448302747297553
9,269983,0.07051300713502758
10,435574,0.04115133912007669
11,299809,0.19714859770375054
12,386485,0.031315113928520814
13,269948,0.03380094910934172
14,280976,0.09367032243601314
15,238068,0.03396716296939123
16,304049,0.056392605059105816
17,414990,0.05394869158588781
18,217203,0.04276596582426617
19,376182,0.00992338711689014
20,105944,0.05653350789684912
21,141357,0.04062497472247107
22,309630,0.03937804318479907
23,242368,0.05488136744890447
24,442101,0.08062147994066461
25,398068,0.031095433868938756
26,200440,0.09381919387135569
27,130746,0.03797098088978299
28,391997,0.02640801432167661
29,290025,0.03176051858978992
30,343846,0.05898157028024337
31,126485,0.1184251049622947
32,104163,0.14490613626621612
33,362585,0.07685848968365404
34,208568,0.06499620208972287
35,223220,0.0628222691761051
36,115449,0.01190424171065953
37,157918,0.0471861315647371
38,235847,0.133434156881226
39,424643,0.1022739104843456
40,260115,0.017625765120731787
41,101029,0.05056068048420337
42,209683,0.11239683191421058
43,332916,0.054524789536388195
44,170649,0.05935422815430967
45,148754,0.09219739391187588
46,322016,0.10273009945298893
47,410057,0.011838061844658163
48,400391,0.09759047278719418
49,303311,0.08117243947734717
50,306375,0.21043592026255878
51,349106,0.05151114680777677
52,276461,0.028748707439992013
53,410126,0.021531297564163228
54,150037,0.18071249136701745
55,454632,0.13539971070407136
56,174402,0.3519222650654214
57,261588,0.07220286870581998
58,348830,0.03156618471021123
59,340159,0.08582025531582231
60,389531,0.07956466261095421
61,162563,0.15107779613960776
62,334705,0.014550924490420353
63,304569,0.021118257598384066
64,310542,0.12105402456638141
65,308062,0.04298024734163667
66,261605,0.023288460010413462
67,322239,0.030230307896530154
68,117154,0.046625945562113476
69,364023,0.11422364766198577
70,348864,0.06527928946050023
71,345535,0.07719350013854596
72,228272,0.0957551401308368
73,418424,0.0982319402872502
74,383965,0.03254541787861899
75,145408,0.039872244944616074
76,427237,0.034672056559426054
77,264554,0.07392514163362854
78,174096,0.030125785765672684
79,354555,0.034028498858115264
80,410575,0.12566932102323783
81,186995,0.051001247906120914
82,283181,0.0974147664755633
83,434215,0.12061552987628206
84,337331,0.10285559300662646
85,424061,0.0318877690976178
86,232858,0.009766340283341285
87,176976,0.10787744099959894
88,289643,0.4039321245423417
89,261786,0.01863262642682303
90,160826,0.052815506221745495
91,148685,0.03570094393125726
92,184353,0.027728324460801246
93,129079,0.07068520472244116
94,169069,0.24110415104680266
95,196926,0.18708899030117374
96,221111,0.1271325398770869
97,167852,0.011522598840498123
98,297652,0.079872191300268
99,181938,0.04194743266037512
100,293370,0.11497120285084379
101,421379,0.03023904119765134
102,332561,0.024082663550115662
103,340723,0.019299644020772774
104,229097,0.04101909967240679
105,175449,0.0403607751096132
106,193445,0.10020363254072624
107,330554,0.06980344192841295
108,302817,0.09198727093379425
109,424238,0.16763490562792782
110,175232,0.13997225079457717
111,390273,0.03703337589486792
112,187554,0.030767609944428443
113,283526,0.0344569342500553
114,422721,0.11593011474331692
115,416240,0.07977006381496622
116,259330,0.019381791721948094
